Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2026-03-16,ITC,-1,1,0.1482935,0.8517065,0.8517065,14,2020-02-12,2026-02-24,0.0225576396867535
2026-03-16,KOTAKBANK,-1,1,0.24280035,0.75719965,0.75719965,14,2020-02-12,2026-02-24,0.0081777291811016
2026-03-16,LT,1,1,0.1668207,0.8331793,0.8331793,14,2020-02-12,2026-02-24,0.0088397829660304
2026-03-16,MARUTI,-1,1,0.24426603,0.75573397,0.75573397,14,2020-02-12,2026-02-24,0.013184020331983
2026-03-16,NESTLEIND,-1,1,0.36842883,0.6315712,0.6315712,14,2020-02-12,2026-02-24,0.0093163148370367
2026-03-16,NTPC,-1,1,0.16686517,0.83313483,0.83313483,14,2020-02-12,2026-02-24,-0.0053323403445306
2026-03-16,ONGC,1,1,0.2723449,0.7276551,0.7276551,14,2020-02-12,2026-02-24,-0.0138204990993212
2026-03-16,POWERGRID,-1,1,0.23700279,0.7629972,0.7629972,14,2020-02-12,2026-02-24,-0.0106330356445704
2026-03-16,RELIANCE,-1,1,0.37212098,0.627879,0.627879,14,2020-02-12,2026-02-24,0.0104295103377387
2026-03-16,SBIN,-1,1,0.19487977,0.8051202,0.8051202,14,2020-02-12,2026-02-24,0.0188156664087091
2026-03-16,SUNPHARMA,-1,1,0.2723546,0.7276454,0.7276454,14,2020-02-12,2026-02-24,-0.0102131575618379
2026-03-16,TATASTEEL,1,1,0.18594182,0.8140582,0.8140582,14,2020-02-12,2026-02-24,0.0186911233025106
2026-03-16,TECHM,1,1,0.36248034,0.63751966,0.63751966,14,2020-02-12,2026-02-24,0.0050269739844066
2026-03-16,TITAN,-1,1,0.25482726,0.74517274,0.74517274,14,2020-02-12,2026-02-24,0.0043209510623671
2026-03-16,ULTRACEMCO,-1,1,0.23189706,0.76810294,0.76810294,14,2020-02-12,2026-02-24,0.0454973624717407
2026-03-16,WIPRO,-1,1,0.353329,0.646671,0.646671,14,2020-02-12,2026-02-24,-0.0125012713726724
2026-03-17,ASIANPAINT,-1,1,0.3831728,0.6168272,0.6168272,14,2020-02-12,2026-02-24,0.009243811359227
2026-03-17,AXISBANK,-1,1,0.35879964,0.64120036,0.64120036,14,2020-02-12,2026-02-24,0.0110315509613174
2026-03-17,BAJAJ-AUTO,-1,1,0.26218575,0.73781425,0.73781425,14,2020-02-12,2026-02-24,0.0040780337264409
2026-03-17,BAJAJFINSV,-1,1,0.30104578,0.6989542,0.6989542,14,2020-02-12,2026-02-24,0.0004509424132155
2026-03-17,BAJFINANCE,-1,1,0.30583125,0.69416875,0.69416875,14,2020-02-12,2026-02-24,-0.0108751905285172
2026-03-17,BHARTIARTL,-1,1,0.25714934,0.74285066,0.74285066,14,2020-02-12,2026-02-24,0.0213550705104801
2026-03-17,BPCL,-1,1,0.42814815,0.57185185,0.57185185,14,2020-02-12,2026-02-24,-0.0160682873189585
2026-03-17,BRITANNIA,-1,1,0.49014854,0.50985146,0.50985146,14,2020-02-12,2026-02-24,0.0026532009585757
2026-03-17,CIPLA,-1,1,0.26038742,0.7396126,0.7396126,14,2020-02-12,2026-02-24,-0.0139230581430288
2026-03-17,COALINDIA,-1,-1,0.5020398,0.4979602,0.5020398,14,2020-02-12,2026-02-24,0.0042363942184338
2026-03-17,DRREDDY,-1,1,0.4947328,0.5052672,0.5052672,14,2020-02-12,2026-02-24,0.0054037311317529
2026-03-17,EICHERMOT,-1,1,0.23511147,0.7648885,0.7648885,14,2020-02-12,2026-02-24,0.0120834859025997
2026-03-17,GRASIM,-1,1,0.2792061,0.7207939,0.7207939,14,2020-02-12,2026-02-24,0.0108876384673075
2026-03-17,HCLTECH,1,1,0.32270652,0.6772935,0.6772935,14,2020-02-12,2026-02-24,-0.0056450551925265
2026-03-17,HDFCBANK,-1,1,0.37077975,0.62922025,0.62922025,14,2020-02-12,2026-02-24,0.0056507258362563
2026-03-17,HEROMOTOCO,-1,1,0.3149225,0.6850775,0.6850775,14,2020-02-12,2026-02-24,0.0144927536231884
2026-03-17,HINDALCO,-1,1,0.32601118,0.6739888,0.6739888,14,2020-02-12,2026-02-24,0.0168267921502356
2026-03-17,HINDUNILVR,-1,-1,0.51516026,0.48483974,0.51516026,14,2020-02-12,2026-02-24,-0.0080433885153025
2026-03-17,ICICIBANK,-1,1,0.25411153,0.7458885,0.7458885,14,2020-02-12,2026-02-24,0.012412543369292
